Category,Number,Note,Placement,Famous Fragrances with Price,Description,Image 1,Image 2,Image 3
OCEANIC AROMA,1,Sea Water,Top ,"$Eau des Merveilles Bleue Hermès ( $207 ), Giorgio Armani Acqua di Giò Profumo ( $119 ), Maison Martin Margiela Sailing Day ( $208 ), Montale Sandflowers ( $115 ), Oriza L. Legrand Villa Lympia ( €150 ),","A fresh, invigorating aquatic note that evokes the crisp, salty air of the ocean, adding a cooling, breezy marine essence to any fragrance.",,#VALUE!,#VALUE!
OCEANIC AROMA,2,Earth Water,Heart,"Bvlgari Man Terrae Essence ( $130 ), Amouage Figment Man ( $279 ), Starck Peau de Pierre ($127), Zoologist Perfumes Panda Edition 2017 ( $175 ), Guerlain Néroli Outrenoir ( $395 ), ","A deep, earthy aquatic note with mineral and damp soil nuances, capturing the essence of natural water sources blending with the richness of earth.",,#VALUE!,#VALUE!
OCEANIC AROMA,3,Mineral Salt,Heart,"Marc-Antoine Barrois Ganymede ( €195 ), Amouage Beach Hut Woman ( $132 ), Dior Eden-Roc ( $262 ), Giorgio Armani Acqua di Giò Profondo ( $119 ), Jo Malone London Wood Sage & Sea Salt Cologne ( ‎£215 ),","Crisp and clean, mineral salt provides a sharp, briny note, evoking the purity of oceanic minerals and adding a fresh, grounding element to fragrances.",,#VALUE!,
ZESTY CITRUS,4,Bergamot Orange,Top,"Creed Aventus ( $257 ), Maison Francis Kurkdjian Aqua Celestia Cologne Forte ( € 365 ), Guerlain Bergamote Fantastico Extrait 11 ( $630 ), Tom Ford Neroli Portofino ( $224 ), Creed Silver Mountain Water ( $189 ),","Citrusy, bitter & tart, elegant, light note with mild spicy tone, complex with nuances of fruit and aromatic elements, reminiscent of eau de Cologne, it flavors Earl Grey tea.",,#VALUE!,#VALUE!
ZESTY CITRUS,5,Mandarin Orange,Top,"Creed Aventus Cologne ( ‎$495 ), Maison Francis Kurkdjian Aqua Vitae Cologne Forte ( $321 ), Hermès Hermessence Iris Ukiyoé ( $325 ), Fragrance Du Bois Oud Bleu Intense ( £295 ), Xerjoff XJ 1861 Decas ( €245 ),","Sweet, juicy, and vibrant, mandarin orange offers a cheerful citrus note with a delicate tang, adding a sunny, fruity warmth to fragrances.",,#VALUE!,#VALUE!
ZESTY CITRUS,6,Citrus,Top ,"Profumum Roma Dulcis in Fundo ( €195 ), Creed Royal Water ( $219 ), Parfums de Marly Galloway ( $195 ), Tom Ford Azure Lime ( $411 ), Montale Soleil de Capri ( €100 )","A lively blend of zesty, fresh fruit notes, citrus delivers a bright, invigorating burst of energy with tangy, juicy, and sparkling accents.",,#VALUE!,#VALUE!
ZESTY CITRUS,7,Grapefruit,Top,"Bvlgari Tygar ( $400 ), Chanel Chance Eau Tendre ( $108 ), Louis Vuitton Symphony ( $899 ), Hermès Eau de Pamplemousse Rose ( $144 ), By Kilian Moonlight in Heaven ( €255 ), ","Crisp and refreshing, grapefruit combines tart, tangy citrus with bitter-sweet undertones, bringing a vibrant, juicy freshness and a slight sharpness to fragrances.",,#VALUE!,#VALUE!
ZESTY CITRUS,8,Lemon,Top,"Chanel Allure Homme Edition Blanche ( $189 ), Maison Francis Kurkdjian Petit Matin ( $319 ), Xerjoff Torino21 ($168), Creed Sublime Vanille ( $610 ), Tom Ford Mandarino di Amalfi ($209),","Zesty, clean, and energizing, lemon offers a sharp citrus brightness with a crisp, tangy sweetness, adding an uplifting and refreshing quality to fragrances.",,#VALUE!,#VALUE!
,,FLORAL ESSENCE,,,,,,
FLORAL ESSENCE,9,Cherry Blossom,Top ,"Dior Sakura ( $330 ), Amouage Blossom Love ( $193 ), Jo Malone London Sakura Cherry Blossom ( $149 ), Floraïku I See the Clouds Go By ( $214 ), Estée Lauder Dream Dusk ( $181 ),","A fantasy delicate floral note with sweet, airy nuances, cherry blossom evokes springtime freshness with subtle hints of almond and a gentle, romantic sweetness.",,#VALUE!,#VALUE!
